trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-112.3523910906314,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-56.433814183735834,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-67.32731025960938,"{0: 18, 1: 5, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-89.95889403957929,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-93.14171059975175,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-185.56914718008397,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-130.1034591964786,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-75.8870244130609,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,10,-29.973732689473575,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-113.14584623491852,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,8,10.144286722279922,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-57.5064440629422,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,5,15.62396797695507,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-77.83581729132916,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-113.65954943313749,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,3.1767656778602458,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,17,-17.86656069881919,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,14,-57.33288480104819,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-11.055622653819924,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0}",30,0,-11.087627183163029,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-143.7133594034164,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 4}",0
2,True,"{'a': 0, 'e': 0}",35,9,-59.94229656093017,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",35,0,-32.94545114059491,"{0: 32, 1: 0, 2: 1, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,8,-3.6741445825558188,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,-16.95168481457143,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-40.669122869176974,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-18.253791808372572,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-24.70814864710753,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-3.3862163217836203,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,-21.917676525738838,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
11,True,"{'a': 0, 'e': 0}",30,0,-5.3459816354371625,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
12,True,"{'a': 0, 'e': 0}",20,0,-45.47435946076774,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
13,True,"{'a': 0, 'e': 0}",20,0,21.36758057498996,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",25,0,-31.490322448076103,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
15,True,"{'a': 0, 'e': 0}",25,0,-71.82127176177046,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
16,True,"{'a': 0, 'e': 0}",25,0,34.64908089896174,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0, 'e': 0}",25,0,10.304599650111237,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
18,True,"{'a': 0, 'e': 0}",20,0,-78.65106745224685,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
19,True,"{'a': 0, 'e': 0}",30,0,-38.62772105567403,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",1
20,True,"{'a': 0, 'e': 0}",25,0,-19.2061223229154,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
