trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999988750002109}",35,0,-49.00594138251508,"{0: 28, 1: 1, 2: 4, 3: 2, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.999995500003375}",20,0,-94.0234660217782,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999898750170859}",25,0,-198.56507856210277,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.999982000054}",20,0,-179.10110903723802,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9999718751318357}",25,0,-105.64231659051022,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9999595002733742}",20,7,-55.82786269943196,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.999944875506459}",25,0,-103.88583118858,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-90.4172720043885,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9999088763839525}",25,0,-142.0651529871331,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,0,-120.88504609310326,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9998638780883079}",20,7,-28.076806375694005,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.9998380043739528}",25,0,-110.26393227970281,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9998098810245096}",30,0,-57.608429969940794,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
