trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.87929365978601,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.82838030486852,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-112.74236879480264,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",40,0,-249.87410557087844,"{0: 24, 1: 2, 2: 9, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-276.3671724492026,"{0: 17, 1: 5, 2: 7, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",40,0,-308.9599004360239,"{0: 19, 1: 4, 2: 11, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,7,8.834020686777098,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-359.00871527673127,"{0: 16, 1: 7, 2: 4, 3: 1, 4: 7}",0
9,False,"{'a': 0.5, 'e': 1.0}",45,0,-267.10307139611433,"{0: 31, 1: 1, 2: 7, 3: 1, 4: 5}",0
10,False,"{'a': 0.5, 'e': 1.0}",40,0,-243.66820719632847,"{0: 28, 1: 2, 2: 4, 3: 1, 4: 5}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-96.84351088885248,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-95.45371724457688,"{0: 25, 1: 3, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",70,0,-541.2246349209587,"{0: 38, 1: 11, 2: 9, 3: 2, 4: 10}",0
14,False,"{'a': 0.5, 'e': 1.0}",50,0,-388.25312300430346,"{0: 28, 1: 1, 2: 11, 3: 5, 4: 5}",0
15,False,"{'a': 0.5, 'e': 1.0}",55,0,-269.1184333061502,"{0: 36, 1: 5, 2: 6, 3: 5, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-262.8563930662545,"{0: 19, 1: 4, 2: 6, 3: 2, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",40,0,-395.6303906113442,"{0: 20, 1: 1, 2: 9, 3: 4, 4: 6}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.72072972681589,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",45,0,-248.15687265954654,"{0: 30, 1: 2, 2: 7, 3: 2, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",45,0,-68.86770865593857,"{0: 31, 1: 8, 2: 6, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",55,0,-277.91757340245357,"{0: 32, 1: 3, 2: 16, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.57049224646364,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",45,3,-219.4151764353399,"{0: 24, 1: 3, 2: 11, 3: 2, 4: 2}",1
4,True,"{'a': 0.5, 'e': 1.0}",50,0,-381.67688608460605,"{0: 27, 1: 6, 2: 8, 3: 3, 4: 6}",0
5,True,"{'a': 0.5, 'e': 1.0}",45,0,-381.1989660494941,"{0: 24, 1: 5, 2: 5, 3: 5, 4: 6}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-275.63996846843656,"{0: 8, 1: 1, 2: 4, 3: 2, 4: 5}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-304.89647259745647,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 6}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-142.34928994582052,"{0: 25, 1: 2, 2: 4, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",45,0,-340.61886942018504,"{0: 21, 1: 8, 2: 9, 3: 2, 4: 5}",0
